,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel ,GenLabel
820,1890000,276000,0,0,8.45E-18,3,0.00794,319000,2550,191,0.838,0,0.0292,0,6350,0.0196,63.6,0.963,0,0,0,91.8,0.2,4,45.6,0,0
830,4300000,302000,3010,0.00803,7.3E-18,0,0.0101,372000,3800,0,124,0,0,0,719,0.00193,111,0.871,0,0.0166,185,127,0.298,4,16.5,0,0
840,17100000,405000,162000,0.232,0.000223,3,0.00656,536000,3530,126,281,0,0.0317,0,3850,0.00714,0,0,0,0,165,335,0,4,4.17,0,1
850,2810000,327000,0,0,0,0,0.00647,385000,2510,94.9,25.2,0,0.048,0,1880,0.00486,0,0.7,0,0,836,394,0,4,6.83,0,0
870,2640000,301000,1600,0.00375,0,1,0.00917,426000,3940,95.5,25.5,734,0.013,0.162,7230,0.0167,0,0.796,0,0,439,195,0,4,13.7,0,0
880,2400000,334000,1710,0.00441,7.29E-18,2,0.00488,386000,1890,170,0,1020,0.092,0,1670,0.00432,0,0,0,0.0469,0,128,0,4,0,0,0
890,2890000,423000,0,0,5.59E-06,0,0.00845,528000,4500,66.5,65,0,0.00493,0,13400,0.0248,0,0.966,0,0,409,147,0,4,6.65,0,0
900,8710000,291000,0,0,1.03E-17,1,0.00633,423000,2690,153,247,0,0.0113,0,13400,0.0306,125,0.98,0,0.00457,68.3,216,0.297,9,3.61,0,0
910,1330000,419000,1210,0.00969,5.02E-05,0,0.0102,123000,1270,125,216,187,0.137,0.867,788,0.00635,0,1,0,0,16.4,69.8,0,4,0,0,0
920,3360000,432000,0,0,6.69E-18,0,0.00851,601000,5160,122,252,0,0.00948,0,12800,0.0208,134,0.918,0,0.00164,1040,368,0.222,4,3.23,0,0
930,8410000,285000,38500,0.305,0,3,0.00548,87800,484,66.5,0,0,0.0101,0,6520,0.0692,48.2,0.876,0,0.0155,0,0,0.549,4,0,0,1
940,52600000,429000,0,0,0.000288,2,0.0149,245000,3690,60.5,53.1,84.4,0.0126,0.782,4730,0.019,55.7,0,0.933,0.0204,223,246,0.228,4,15.2,0,0
950,7400000,621000,1120,0.00474,8.77E-18,1,0.00705,234000,1660,153,142,1630,0.101,0.332,1370,0.0058,0,0.601,0,0.0052,243,142,0,4,0,0,0
970,1500000,401000,0,0,8.14E-18,3,0.0101,179000,1820,188,44.4,0,0.235,0,612,0.00341,133,0,0,0,421,23.5,0.74,4,0,0,0
980,2430000,568000,451,0.00196,8.07E-18,0,0.00832,229000,1920,331,0,102000,0.186,0,1450,0.00628,157,0,0.0317,0,669,116,0.683,4,28.4,0,0
1000,1680000,448000,0,0,9.66E-18,0,0.00834,209000,1760,402,298,1440,0.221,0.542,1420,0.00675,53.1,0.83,0.441,0.0169,0,2600,0.254,4,0,0,0
1010,6110000,509000,1060,0.00225,7.27E-18,2,0.00452,470000,2130,192,69.9,580,0.132,0.409,1260,0.00268,0,1,0,0,0,854,0,4,0,0,0
1020,1470000,386000,0,0,0,1,0.0104,131000,1370,84.8,309,0,0,0,0,0,0,0,0,0.0144,0,192,0,4,1.77,0,0
1030,1790000,423000,2250,0.0113,4.86E-18,3,0.00882,197000,1750,0,0,330,0,0,887,0.00449,133,1,0.897,0,0,36.9,0.673,4,0,0,0
1040,2200000,487000,5810,0.028,0,3,0.00909,202000,1850,55.7,258,0,0.0733,0,704,0.00348,39.4,0,0,0.032,0,150,0.196,4,1.55,0,0
1050,1460000,426000,0,0,0,2,0.0072,160000,1160,75,0,282,0.173,0,358,0.00224,36.3,0.853,0.736,0.225,0,199,0.227,4,1.44,0,0
1060,1690000,482000,0,0,2.65E-05,0,0.0103,180000,1860,103,0,0,0.257,0,297,0.00165,0,0.666,0,0,0,0,0,4,1.27,0,0
1070,9150000,975000,0,0,0,0,0.0119,705000,8500,221,10.4,0,0.142,0,1340,0.00189,0,0.82,0,0,42.9,498,0,4,1.31,0,1
1080,3070000,469000,0,0,0,4,0.00702,347000,2450,95.3,333,0,0.134,0,616,0.00177,0,0,0,0.0627,0,92.7,0,4,1.22,0,1
1090,3050000,502000,0,0,1.9E-05,1,0.0129,477000,6210,37.4,0,0,0.0204,0,1790,0.00374,0,0.986,0,0,520,0,0,4,1.35,0,1
1100,19100000,500000,1360,0.00146,0,1,0.00865,924000,8070,194,135,1230,0.0759,0.39,2360,0.00255,0,0,0,0.00751,937,368,0,4,1.31,1,1
1110,4950000,453000,0,0,0,2,0.00949,272000,2600,41.4,0,145,0.0618,0,629,0.00231,0,0,0,0,0,239,0,4,1.57,0,0
1120,14800000,497000,0,0,2.76E-05,0,0.0113,340000,3870,24.6,0,57.7,0.0299,0,800,0.00234,237,0,0.989,0,0,258,0.695,4,1.32,0,0
1130,3980000,428000,0,0,0,1,0.0123,367000,4570,201,199,634,0.157,0.647,1080,0.00293,79.9,0.486,0.736,0,259,169,0.218,4,1.4,0,0
1140,4390000,434000,0,0,7.9E-05,4,0.00818,201000,1650,55,0,1440,0.0566,0,916,0.00455,203,0.79,0.758,0.0609,0,238,1.01,4,1.99,0,0
1150,13500000,453000,5470,0.0214,0,0,0.0102,251000,2570,76.5,0,1720,0.0746,0,949,0.00377,46.7,0.77,0.377,0,531,52.7,0.187,4,1.29,0,0
1160,9680000,471000,4440,0.0164,6.49E-18,1,0.011,266000,2970,119,178,0,0.109,0,978,0.00366,0,0.653,0,0,0,84.4,0,4,0,0,0
1170,1890000,476000,146,0.000621,1.02E-17,1,0.00916,234000,2170,0,0,0,0,0,863,0.00367,2.63,0.667,0,0.0335,872,71.2,0.0112,4,0,0,0
1180,5570000,489000,4480,0.0179,0,0,0.00701,247000,1740,135,66.5,0,0.248,0,408,0.00165,0,0.717,0,0,461,15.7,0,4,1.32,0,0
1190,1700000,469000,741,0.00462,1.17E-17,2,0.0045,160000,721,0,0,1800,0,0,505,0.00315,25.3,0.597,0.241,0,0,134,0.158,4,0,0,0
1200,1780000,507000,4570,0.0214,9.42E-18,0,0.00842,209000,1780,93.4,0,1870,0.188,0,403,0.00192,0,0.491,0,0.073,0,147,0,4,0,0,0
1210,1420000,491000,0,0,1.02E-17,0,0.00939,130000,1240,134,278,0,0.606,0,87.1,0.000668,95.8,1,0,0,0,17.9,0.735,4,0,0,0
1220,14800000,515000,8210,0.0563,1.11E-17,0,0.00143,138000,198,57.8,0,0,0.0904,0,581,0.0042,3.31,1,0,0.0109,191,102,0.024,4,0,0,0
1230,7140000,514000,1050,0.00837,0,1,0.00975,124000,1220,17.6,43.6,0,0,0,0,0,200,0,0,0,0,151,1.61,4,2,0,0
1240,1300000,471000,5750,0.0497,1.1E-17,0,0.0129,110000,1440,27.1,13,0,0.0309,0,850,0.00767,0,1,0,0,0,19,0,4,0,0,0
1250,5830000,596000,4840,0.0308,8.87E-18,1,0.00711,152000,1090,45.5,0,147,0.0472,0,919,0.00599,244,1,0.975,0.011,190,14.1,1.6,4,0,0,0
1260,11500000,450000,0,0,0,0,0.0141,89300,1270,127,0,3170,0.157,0,683,0.00759,127,0.984,0.48,0,214,166,1.42,4,0,0,0
1270,2390000,557000,0,0,9.23E-18,1,0.0117,110000,1310,15.3,0,0,0.0237,0,628,0.00568,0,1,0,0.015,41,89.8,0,4,0,0,0
1280,1570000,522000,0,0,9.34E-18,0,0.00993,113000,1130,58.1,0,0,0.0443,0,1250,0.011,0,0.999,0,0,1230,352,0,4,0,0,0
1290,1330000,486000,0,0,1.05E-17,2,0.0142,87300,1260,75.1,10.2,1750,0.0789,0.0339,877,0.00995,178,0.841,0.702,0.0221,0,32,2.03,4,0,0,0
1300,1110000,380000,2370,0.0199,1.2E-17,0,0.00667,117000,782,44.5,33.3,0,0.0693,0,598,0.00511,211,1,0,0,683,12.9,1.81,4,0,0,0
1310,20600000,501000,0,0,6.55E-05,0,0,95800,0,41.6,284,0,0.056,0,702,0.00727,160,1,0,0.0687,0,128,1.66,4,0,0,0
1320,4120000,1990000,0,0,0,0,0.0148,185000,2780,189,33.7,0,0.072,0,2440,0.013,15,0.971,0,0,0,180,0.0809,4,1.23,0,1
1330,4060000,1950000,8400,0.0414,4.59E-05,0,0.0159,194000,3150,435,0,0,0.163,0,2230,0.0114,0,0.735,0,0,0,225,0,4,1.05,0,1
1340,57400000,2240000,0,0,0,1,0.0164,291000,4850,308,196,112,0.0672,0.915,4270,0.0144,102,0,0.956,0.0102,16.8,198,0.35,4,6.97,0,1
1350,6920000,2060000,98300,0.352,0,3,0.0191,181000,3520,809,0,0,0.252,0,2410,0.0132,117,0.62,0,0.0279,1040,341,0.65,4,1.14,0,1
1360,8780000,2060000,9780,0.0556,0,2,0.0158,166000,2670,341,146,1500,0.18,0.374,1550,0.00927,185,0.572,0.747,0.00782,0,240,1.11,4,1.35,0,1
1365,45100000,1990000,0,0,0,0,0.0183,187000,3490,143,166,0,0.0625,0,2140,0.0113,0,0.834,0,0,0,110,0,4,1.31,0,1
1370,20500000,1900000,1690,0.00953,0,0,0.0167,176000,2980,127,102,658,0.0459,0.489,2630,0.0148,0,0.606,0,0.00261,0,190,0,4,1.26,0,1
1380,4310000,2110000,2720,0.0146,0,1,0.0193,184000,3630,276,178,0,0.127,0,1910,0.0103,20.5,0.809,0,0,612,280,0.112,4,1.15,0,1
1390,40200000,1840000,4200,0.0193,0,2,0.0147,214000,3190,137,0,4170,0.0551,0,2350,0.0109,0,0.612,0,0.0364,0,129,0,9,1.65,0,1
1400,4600000,1760000,3460,0.0152,0,1,0.0154,225000,3520,190,191,0,0.104,0,1650,0.00727,333,0.704,0,0.00901,0,375,1.48,4,1.16,0,1
1410,79600000,2190000,4120,0.0152,3.92E-18,1,0.0152,268000,4130,161,258,0,0.0793,0,1870,0.00692,126,0.634,0,0,0,164,0.47,4,3.67,0,1
1420,5030000,1900000,2080,0.00588,3.92E-18,2,0.012,352000,4260,236,296,0,0.107,0,1970,0.00557,63.2,0.653,0,0,0,412,0.18,4,93.1,0,1
1430,6060000,2080000,0,0,3.06E-08,3,0.0172,516000,9000,220,134,1700,0.0313,0.328,6820,0.013,75.7,0.985,0.521,0,0,239,0.147,4,4.05,0,1
1440,28500000,1730000,4230,0.00708,3.6E-18,0,0.0125,593000,7490,323,99.6,1160,0.185,0.349,1420,0.0024,0,0.562,0,0,0,455,0,4,5.54,0,1
1450,6050000,2340000,0,0,3.61E-18,1,0.0141,526000,7510,138,403,0,0.0499,0,2620,0.00496,0,0.663,0,0,624,233,0,4,8.89,0,1
1460,7850000,2250000,0,0,0,2,0.0142,824000,11800,281,34.5,2140,0.0202,0.0917,13600,0.0163,86.7,0.891,0.5,0,0,412,0.105,4,1.28,0,1
1470,11200000,2080000,0,0,0,0,0.0111,1760000,19700,579,199,0,0.0377,0,14800,0.00833,0,0.881,0,0,68.3,759,0,4,1.03,1,1
1480,18200000,1990000,0,0,3.43E-18,3,0.0126,694000,8850,226,256,0,0.0297,0,7370,0.0105,26.7,0.922,0,0.00224,756,397,0.0385,9,13.7,0,1
1490,11200000,2400000,2180,0.00542,2.88E-18,0,0.0127,399000,5130,186,0,253,0.0121,0,15200,0.0366,47.8,0.816,0.825,0.0141,880,396,0.12,4,3.76,0,1
1500,58300000,1840000,0,0,0,1,0.013,972000,12800,174,426,0,0.0118,0,14600,0.0148,0,0.885,0,0,0,455,0,4,3.69,0,1
1520,7390000,2050000,0,0,0,1,0.0129,768000,10000,413,114,1260,0.0246,0.365,16300,0.0208,0,0.873,0,0,1190,617,0,4,1.07,0,1
1530,5870000,2320000,0,0,0,0,0.0147,447000,6670,232,340,0,0.0133,0,17200,0.0371,183,0.874,0,0.00933,0,593,0.41,4,1.01,0,1
1540,14900000,1730000,0,0,0,1,0.016,356000,5800,154,0,0,0.00914,0,16700,0.0447,104,0.876,0,0.00824,0,206,0.291,4,1.01,0,1
1550,184000000,2040000,0,0,0,1,0.0139,468000,6600,47.6,641,4640,0.00331,0.467,14300,0.0297,175,0.813,0.487,0,0,155,0.374,4,1.09,0,1
1560,5330000,2020000,0,0,0,0,0.0136,421000,5790,413,112,0,0.0294,0,13600,0.0314,0,0.848,0,0.00966,0,426,0,4,1.31,0,1
1570,9830000,2440000,4190,0.00373,1.94E-07,0,0.012,1120000,13600,217,196,0,0.0138,0,15500,0.0136,0,0.86,0,0,1100,883,0,4,0.855,0,1
1580,6620000,1920000,1480,0.0032,0,0,0.0143,461000,6670,301,181,2200,0.0202,0.344,14600,0.0307,306,0.829,0.779,0,0,507,0.663,4,1.23,0,1
1590,27600000,2310000,0,0,0,0,0.0153,435000,6760,205,71.3,0,0.0136,0,14900,0.033,55.4,0.981,0,0.0032,0,390,0.127,4,1.26,0,1
1600,5380000,1860000,2680,0.00628,6E-05,0,0.0144,425000,6200,139,144,4020,0.0152,0.186,9000,0.0208,0,0.981,0,0,358,443,0,4,5.07,0,1
1630,7070000,2570000,3430,0.00569,0,1,0.0129,599000,7810,419,0,0,0.026,0,15700,0.0256,255,0.879,0,0,1130,573,0.425,4,9.71,0,1
1640,6630000,2280000,4240,0.0119,8.02E-19,1,0.0159,352000,5660,292,98.7,0,0.0317,0,8920,0.0247,194,0.952,0,0,817,249,0.553,9,3.7,0,1
1650,238000000,2190000,782,0.00234,7.81E-19,0,0.0191,334000,6480,127,69,156,0.00936,0.741,13400,0.0387,420,0.819,0.986,0.000877,0,291,1.26,4,5.87,0,1
1660,46500000,2150000,131,0.000293,0,3,0.0128,449000,5800,201,0,0,0.0248,0,7920,0.0173,0,0.787,0,0.0138,0,213,0,9,7.06,0,1
1670,18700000,1930000,3330,0.00615,8.79E-19,1,0.0126,537000,6850,62.6,251,5870,0.00623,0.216,9980,0.0182,8.28,0.866,0.0353,0,212,582,0.0154,4,3.99,0,1
1680,41500000,1990000,0,0,9.39E-19,3,0.0117,432000,5090,158,135,0,0.0452,0,3350,0.0077,100,0.82,0,0.033,0,259,0.233,4,47.3,0,1
1690,180000000,1800000,495,0.000826,8.85E-19,0,0.0141,598000,8560,151,152,0,0.0101,0,14800,0.0242,94.4,0.928,0,0,437,308,0.158,9,101,0,1
1700,5460000,2200000,1530,0.00369,6.34E-19,0,0.0109,414000,4560,459,158,1570,0.0822,0.395,5120,0.0122,89.1,0.894,0.598,0.013,0,470,0.215,4,10.3,0,1
1710,4660000,1860000,0,0,9.36E-19,1,0.0139,307000,4320,205,0,0,0.0772,0,2450,0.00791,144,0.651,0,0.0118,0,245,0.47,9,0,0,1
1720,153000000,1920000,0,0,8.77E-19,1,0.014,325000,4620,256,0,649,0.0165,0,15300,0.0449,108,0.882,0.814,0.00697,0,218,0.333,4,4.85,0,1
1730,5330000,2060000,746,0.00181,9.9E-19,2,0.0129,412000,5360,361,316,3780,0.0221,0.353,16000,0.0374,0,0.947,0,0.00578,0,405,0,4,0,0,1
1740,148000000,1950000,9820,0.00911,8.53E-07,0,0.0101,1070000,10900,195,331,0,0.0116,0,16700,0.0154,157,0.85,0,0.000425,1010,507,0.147,4,2.08,1,1
1750,21200000,1980000,0,0,9.03E-19,2,0.0137,509000,7060,245,378,2020,0.0165,0.551,14600,0.028,325,0.806,0.81,0.0135,0,223,0.638,4,10.8,0,1
1760,130000000,1870000,0,0,0,0,0.0111,578000,6500,430,0,0,0.0279,0,15000,0.0253,105,0.828,0,0,670,289,0.181,4,1.15,0,1
1770,29900000,2200000,0,0,0,0,0.0117,590000,6990,195,0,3080,0.0134,0,14300,0.0237,0,0.882,0,0.00641,0,553,0,9,1.28,0,1
1780,44600000,1900000,14300,0.0358,0,2,0.0141,385000,5510,229,260,0,0.015,0,15100,0.0377,1.47,0.887,0,0,0,332,0.00382,4,1.24,0,1
1790,73700000,3000000,2040,0.00621,2.74E-18,0,0.0139,327000,4590,457,749,0,0.0279,0,16000,0.0465,278,0.858,0,0.0106,185,293,0.85,4,3.04,0,1
1800,5080000,2110000,0,0,0,0,0.00864,339000,2960,297,268,1910,0.0206,0.482,14200,0.04,88.2,0.789,0.556,0,799,458,0.26,4,1.07,0,1
1830,5160000,2310000,0,0,3.57E-18,1,0.0131,272000,3600,427,369,0,0.0276,0,15100,0.0525,0,0.852,0,0,637,169,0,4,6.06,0,0
1850,208000000,2410000,0,0,0,0,0.0175,257000,4570,190,301,0,0.0117,0,16100,0.0588,52.6,0.864,0,0,612,227,0.204,4,0.997,0,0
1870,77000000,2200000,0,0,0,2,0.013,332000,4370,130,484,2330,0.00746,0.581,17300,0.0494,437,0.909,0.837,0,660,336,1.31,4,1.19,0,0
1920,249000000,2050000,1880,0.00519,1E-18,0,0.015,360000,5470,295,177,701,0.0182,0.628,15900,0.0424,19.7,0.859,0.435,0.00446,131,266,0.0547,4,3.23,0,0
1950,5340000,2390000,53.4,0.000168,8.98E-19,0,0.0107,319000,3440,215,0,2250,0.016,0,13200,0.0398,93.8,0.817,0.535,0,0,0,0.294,4,5.01,0,0
1960,54900000,2130000,6080,0.0238,0,1,0.017,250000,4320,274,290,384,0.0222,0.836,12100,0.0461,281,0.914,0.953,0,0,263,1.12,4,1.28,0,0
1970,117000000,1970000,0,0,0,0,0.0172,391000,6820,131,28.4,1260,0.00883,0.132,14700,0.0363,0,0.869,0,0,1120,563,0,4,0,0,0
1990,61300000,1900000,0,0,2.52E-18,0,0.0151,301000,4630,226,270,5280,0.025,0.257,8810,0.0284,153,0.867,0.446,0,0,273,0.508,4,3.65,0,0
2000,76000000,2140000,0,0,0,1,0.0187,339000,6480,299,0,0,0.036,0,7990,0.023,18.6,0.838,0,0,659,298,0.0548,4,16.2,0,0
2020,5040000,2090000,0,0,8.53E-19,0,0.0101,356000,3620,282,413,5470,0.12,0.339,2070,0.00578,43.6,0.615,0.182,0,534,139,0.123,4,267,0,0
2040,120000000,2540000,670,0.0026,0,0,0.00898,257000,2330,346,92.2,637,0.105,0.495,2940,0.0113,0,0.875,0,0,0,291,0,4,13.8,0,0
2050,4900000,2040000,1640,0.00501,7.81E-19,0,0.0134,325000,4400,463,0,369,0.0761,0,5620,0.017,0,0.806,0,0.00524,0,351,0,4,3.37,0,0
2070,4680000,2020000,5530,0.0198,8.37E-19,0,0.015,274000,4170,189,200,4740,0.0622,0.223,2840,0.0103,0,0.524,0,0,1200,79.4,0,4,0,0,0
2080,11600000,2200000,2230,0.00951,8.13E-19,1,0.0196,232000,4630,484,113,4150,0.0524,0.157,8770,0.0364,0,0.803,0,0.0024,818,290,0,4,56.2,0,0
2090,5800000,2600000,0,0,7.83E-19,0,0.0111,358000,4030,384,157,0,0.0204,0,18500,0.0491,4.84,0.823,0,0.00641,0,581,0.0135,4,11.5,0,0
2100,180000000,2150000,5700,0.0148,2.58E-18,0,0.0133,380000,5130,443,0,2250,0.0294,0,14700,0.0371,0,0.893,0,0,280,229,0,9,3.11,0,0
2110,5390000,2420000,0,0,2.55E-18,1,0.0152,330000,5090,143,47.1,0,0.00827,0,17100,0.0493,238,0.835,0,0.00723,1200,310,0.72,9,3.32,0,0
2120,5700000,2180000,2200,0.00629,0.000466,0,0.0145,347000,5090,211,330,0,0.011,0,19000,0.052,58.9,0.855,0,0,65.6,209,0.17,4,10,0,1
2130,21000000,2200000,5120,0.0166,4.22E-18,0,0.012,304000,3710,377,266,0,0.06,0,5910,0.0191,194,0.836,0,0.00486,169,343,0.638,4,17.5,0,0
2140,5010000,2320000,1250,0.00399,4.04E-18,0,0.0154,313000,4900,429,42,1670,0.0666,0.148,6010,0.0188,120,0.658,0.675,0,0,103,0.384,4,3.31,0,0
2170,7000000,2510000,659,0.00171,4.25E-18,1,0.0116,386000,4510,444,367,5940,0.0295,0.299,14600,0.0365,71.1,0.909,0.256,0.0249,0,308,0.184,4,11,0,0
2190,5850000,2680000,0,0,0,1,0.0149,309000,4670,208,0,0,0.0127,0,16200,0.0499,464,0.903,0,0,414,361,1.5,4,3.49,0,0
2195,129000000,2710000,871,0.00164,5.83E-07,0,0.0144,531000,7760,165,0,0,0.00905,0,18000,0.0328,78.3,0.84,0,0.00675,510,444,0.147,4,2.55,0,0
2210,53900000,2680000,0,0,3.87E-18,0,0.0112,651000,7370,494,79.5,1090,0.0334,0.336,14300,0.0215,0,0.873,0,0.0347,767,264,0,4,22.7,0,0
2215,7360000,2460000,0,0,4.57E-18,0,0.00922,881000,8200,373,189,0,0.0234,0,15600,0.0174,24.4,0.865,0,0,107,256,0.0277,4,3.17,0,1
2220,91500000,2570000,0,0,0,0,0.0146,804000,11900,324,56.4,0,0.0193,0,16500,0.0201,244,0.83,0,0,437,273,0.303,4,2.43,0,1
2225,9330000,2930000,0,0,3.98E-18,0,0.011,1240000,13800,260,548,0,0.0137,0,18700,0.0148,96,0.871,0,0,214,826,0.0772,4,1.88,0,1
2230,269000000,2690000,0,0,4.19E-18,0,0.0128,708000,9190,399,0,0,0.0222,0,17600,0.0242,292,0.819,0,0,0,281,0.412,4,2.2,0,1
2235,249000000,2630000,25400,0.0316,3.45E-18,0,0.0118,781000,9300,224,305,428,0.0121,0.833,18300,0.0229,586,0.888,0.976,0.00281,674,365,0.75,4,5.28,1,1
2240,53000000,2080000,3510,0.00557,3.6E-18,4,0.0116,626000,7350,260,0,4810,0.0155,0,16600,0.0258,20.7,0.896,0.112,0,0,21.8,0.033,4,2.93,0,1
2255,9240000,2430000,3670,0.00428,3.41E-18,3,0.00936,853000,8060,367,430,0,0.0171,0,21000,0.0241,366,0.934,0,0,577,681,0.428,9,1.75,0,1
2260,143000000,2560000,603,0.000638,3.22E-18,3,0.0068,944000,6460,644,668,3050,0.0336,0.606,18500,0.0192,63.3,0.787,0.381,0.000949,1040,644,0.0671,4,2.36,1,1
2265,413000000,2090000,870,0.00111,0,0,0.0114,785000,9030,201,0,3610,0.00878,0,22700,0.0281,161,0.771,0.57,0,736,256,0.205,4,1.94,0,1
2270,328000000,1710000,19700,0.0275,9.83E-06,1,0.00775,696000,5430,346,592,0,0.0184,0,18500,0.0259,176,0.855,0,0,530,676,0.252,4,2.08,0,0
2275,6150000,1820000,5700,0.00884,1.74E-05,2,0.00959,639000,6190,133,649,136,0.00792,0.971,16700,0.0255,96.6,0.856,0.955,0.0148,401,390,0.151,4,2.4,0,0
2280,4920000,1660000,3.36E-10,1E-15,0,0,0.0194,336000,6640,111,437,0,0.00467,0,23700,0.066,0,0.774,0,0.00484,724,320,0,4,1.87,0,0
2285,4700000,1520000,480,0.00169,2.4E-18,2,0.0132,284000,3800,33.8,151,0,0.00196,0,17200,0.0571,246,0.805,0,0.00845,463,58.7,0.865,4,2.99,0,0
2290,5590000,1600000,3330,0.00661,2.01E-18,1,0.00725,502000,3660,316,63.8,1260,0.0163,0.265,19100,0.0366,3.96,0.802,0.0869,0,0,112,0.0079,4,37.8,0,0
2295,69700000,1450000,3.44E-10,7.47E-16,2.15E-18,3,0.0089,460000,4140,329,285,0,0.0175,0,18400,0.0385,0,0.832,0,0,0,311,0,4,3.49,0,0
2300,16000000,1810000,5140,0.0229,2.41E-18,0,0.0173,219000,3850,378,211,0,0.0174,0,21400,0.0889,0,0.595,0,0,51,309,0,4,1.81,0,0
